lemma,synsets,definitions,examples,total_per_lemma
batavia,0,0,0,0
southern rhodesia,0,0,0,0
madras,3,3,0,6
low-income countries,0,0,0,0
headhunter,2,0,0,2
immigrant,1,10,24,35
barbarian,3,2,2,7
moor,5,11,1,17
indian,4,301,14,319
homo,2,7,3,12
exotic,2,4,8,14
allochtoon,0,0,0,0
medicine man,0,1,0,1
third world,0,0,1,1
servant,2,26,16,44
hottentot,1,0,0,1
gypsy,4,4,1,9
coolie,1,0,0,1
white,25,1460,116,1601
caucasian,4,11,1,16
kaffir,2,0,0,2
descent,6,71,1,78
mohammedan,2,0,0,2
mongoloid,5,1,1,7
discover,8,24,5,37
homosexual,2,15,1,18
baboo,1,0,0,1
pygmy,2,7,0,9
page,9,67,37,113
bush negro,0,0,0,0
second world,0,0,1,1
native,7,596,31,634
bombay,1,1,1,3
negro,2,4,1,7
berber,3,6,0,9
mulatto,1,1,0,2
disabled,2,10,5,17
roots,1,192,14,207
mestizo,1,0,1,2
developing nations,0,1,1,2
western,6,718,20,744
aboriginal,3,3,3,9
transvestite,2,0,0,2
eskimo,2,9,2,13
hermaphrodite,2,2,0,4
gay,7,5,16,28
indo,0,29,2,31
oriental,1,15,5,21
colored,4,334,8,346
inuit,1,2,1,4
black,22,602,98,722
queer,5,0,4,9
calcutta,1,4,2,7
ethnic groups,0,2,0,2
maroon,6,13,1,20
trans,0,1,0,1
half-breed,2,0,0,2
lilliputian,5,1,3,9
dwarf,5,36,4,45
half-blood,0,0,0,0
burma,1,17,0,18
race,10,177,48,235
handicap,6,3,2,11
primitive,7,117,13,137
retarded,2,4,5,11
footmen,0,0,1,1
slave,4,44,13,61
first world,0,0,2,2
ethnicity,1,1,1,3
primitivism,2,0,0,2
indigenous,1,23,4,28
traditional,2,64,16,82
full blood,0,0,0,0
métis,0,0,0,0
tribe,4,60,17,81
