,term,entity_id,text_1,text_2,text_3
0,black,whitelash.n.01,"['whitelash', 'white_backlash']",backlash by white racists against black civil rights advances,[]
1,black,euarctos.n.01,"['Euarctos', 'genus_Euarctos']",American black bears; in some classifications not a separate genus from Ursus,[]
2,black,piperin.n.01,"['piperin', 'piperine']",derived from pepper (especially black pepper); source of the hotness of black and white pepper,[]
3,black,nation_of_islam.n.01,['Nation_of_Islam'],a group of militant Black Americans who profess Islamic religious beliefs and advocate independence for Black Americans,[]
4,black,selenarctos.n.01,"['Selenarctos', 'genus_Selenarctos']",Asiatic black bears; in some classifications not a separate genus from Ursus,[]
5,burma,theravada.n.01,"['Theravada', 'Theravada_Buddhism']",one of two great schools of Buddhist doctrine emphasizing personal salvation through your own efforts; a conservative form of Buddhism that adheres to Pali scriptures and the non-theistic ideal of self purification to nirvana; the dominant religion of Sri Lanka (Ceylon) and Myanmar (Burma) and Thailand and Laos and Cambodia,[]
6,burma,lolo-burmese.n.01,"['Lolo-Burmese', 'Burmese-Yi']",the Tibeto-Burman language spoken in northern Burma and Yunnan,[]
7,burma,burmese.n.02,['Burmese'],the official language of Burma,[]
8,colored,orthoclase.n.01,['orthoclase'],a white or colored monoclinic feldspar,[]
9,colored,common_european_jay.n.01,"['common_European_jay', 'Garullus_garullus']",fawn-colored jay with black-and-white crest and blue-and-black wings,[]
10,colored,straw.s.01,['straw'],of a pale yellow color like straw; straw-colored,[]
11,colored,charolais.n.01,['Charolais'],large white or cream-colored breed from France,[]
12,colored,motley.s.02,"['motley', 'calico', 'multicolor', 'multi-color', 'multicolour', 'multi-colour', 'multicolored', 'multi-colored', 'multicoloured', 'multi-coloured', 'painted', 'particolored', 'particoloured', 'piebald', 'pied', 'varicolored', 'varicoloured']",having sections or patches colored differently and usually brightly,"['a jester dressed in motley', 'the painted desert', 'a particolored dress', 'a piebald horse', 'pied daisies']"
13,colored,fluorescent.s.02,['fluorescent'],brilliantly colored and apparently giving off light,['fluorescent colors']
14,descent,laser-guided_bomb.n.01,"['laser-guided_bomb', 'LGB']",a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent,['laser-guided bombs cannot be used in cloudy weather']
15,descent,polack.n.01,['polack'],a person of Polish descent,[]
16,descent,tay-sachs_disease.n.01,"['Tay-Sachs_disease', 'Tay-Sachs', 'Sachs_disease', 'infantile_amaurotic_idiocy']",a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,[]
17,descent,descent.n.03,['descent'],the act of changing your location in a downward direction,[]
18,descent,sinking.n.01,['sinking'],a descent as through liquid (especially through water),['they still talk about the sinking of the Titanic']
19,discover,reconnaissance_in_force.n.01,['reconnaissance_in_force'],an offensive operation designed to discover or test the enemy's strength (or to obtain other information),[]
20,discover,search_mission.n.01,['search_mission'],a mission to discover something,[]
21,discover,diviner.n.01,['diviner'],someone who claims to discover hidden knowledge with the aid of supernatural powers,[]
22,discover,scout.n.03,"['scout', 'talent_scout']",someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports),[]
23,discover,analyze.v.01,"['analyze', 'analyse', 'study', 'examine', 'canvass']",consider in detail and subject to an analysis in order to discover essential features or meaning,"['analyze a sonnet by Shakespeare', 'analyze the evidence in a criminal trial', 'analyze your real motives']"
24,discover,data_mining.n.01,['data_mining'],data processing using sophisticated data search capabilities and statistical algorithms to discover patterns and correlations in large preexisting databases; a way to discover new meaning in data,[]
25,discover,trace.v.01,"['trace', 'follow']","follow, discover, or ascertain the course of development of something","['We must follow closely the economic development is Cuba', ""trace the student's progress"", ""trace one's ancestry""]"
26,dwarf,dutch_elm.n.01,"['Dutch_elm', 'Ulmus_hollandica']",any of various hybrid ornamental European shade trees ranging from dwarf to tall,[]
27,dwarf,indian_crocus.n.01,['Indian_crocus'],any of several dwarf orchids of the genus Pleione bearing one or two solitary white or pink to magenta or occasionally yellow flowers with slender stalks,[]
28,homosexual,straight.s.10,['straight'],not homosexual,[]
29,homosexual,homoerotic.s.01,['homoerotic'],of or concerning homosexual love,[]
30,indian,indian_agent.n.01,['Indian_agent'],a representative of the federal government to American Indian tribes (especially on Indian reservations),[]
31,indian,metis.n.01,['Metis'],a person in western Canada who is of Caucasian and American Indian ancestry,[]
32,indian,mayan.n.01,"['Mayan', 'Maya']",a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy,['Mayans had a system of writing and an accurate calendar']
33,indians,tribe.n.02,"['tribe', 'federation_of_tribes']",a federation (as of American Indians),[]
34,indians,rasmussen.n.01,"['Rasmussen', 'Kund_Johan_Victor_Rasmussen']",Danish ethnologist and Arctic explorer; led expeditions into the Arctic to find support for his theory that Eskimos and North American Indians originally migrated from Asia (1879-1933),[]
35,indigenous,national_liberation_army.n.02,"['National_Liberation_Army', 'ELN', 'Nestor_Paz_Zamora_Commission', 'CNPZ']",a terrorist organization in Bolivia that acts as an umbrella for numerous small indigenous subversive groups; a revival of a group with Marxist-Leninist ideologies originally established by Che Guevara in the 1960s,[]
36,indigenous,naturalization.n.03,"['naturalization', 'naturalisation']",the introduction of animals or plants to places where they flourish but are not indigenous,[]
37,indo,celtic.n.01,"['Celtic', 'Celtic_language']",a branch of the Indo-European languages that (judging from inscriptions and place names) was spread widely over Europe in the pre-Christian era,[]
38,indo,indo-european.a.02,"['Indo-European', 'Indo-Aryan', 'Aryan']",of or relating to the former Indo-European people,['Indo-European migrations']
39,indo,latvian.n.02,"['Latvian', 'Lettish']",the official language of Latvia; belongs to the Baltic branch of Indo-European,[]
40,indo,lithuanian.n.02,['Lithuanian'],the official language of Lithuania; belongs to the Baltic branch of Indo-European,[]
41,maroon,turk's-cap.n.01,"[""Turk's-cap"", ""Turk's_cap-lily"", 'Lilium_superbum']",lily of the eastern United States with orange to red maroon-spotted flowers,[]
42,native,shamanism.n.01,['shamanism'],any animistic religion similar to Asian shamanism (especially as practiced by certain Native American tribes),[]
43,native,hinduism.n.02,"['Hinduism', 'Hindooism']","a body of religious and philosophical beliefs and cultural practices native to India and based on a caste system; it is characterized by a belief in reincarnation, by a belief in a supreme being of many forms and natures, by the view that opposing theories are aspects of one eternal truth, and by a desire for liberation from earthly evils",[]
44,native,non-standard_speech.n.01,['non-standard_speech'],"speech that differs from the usual accepted, easily recognizable speech of native adult members of a speech community",[]
45,native,grammatical.a.02,"['grammatical', 'well-formed']",conforming to the rules of grammar or usage accepted by native speakers,['spoke in grammatical sentences']
46,native,vedalia.n.01,"['vedalia', 'Rodolia_cardinalis']",native to Australia; introduced elsewhere to control scale insects,[]
47,native,anglo-saxon.n.02,['Anglo-Saxon'],a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant',"['in the ninth century the Vikings began raiding the Anglo-Saxons in Britain', 'his ancestors were not just British, they were Anglo-Saxons']"
48,native,standard.a.04,"['standard', 'received']",conforming to the established language usage of educated native speakers;  (American);  (British),"['standard English', ""received standard English is sometimes called the King's English""]"
49,native,native.s.04,['native'],as found in nature in the elemental form,['native copper']
50,page,page.n.02,"['Page', 'Sir_Frederick_Handley_Page']",English industrialist who pioneered in the design and manufacture of aircraft (1885-1962),[]
51,page,circular.n.01,"['circular', 'handbill', 'bill', 'broadside', 'broadsheet', 'flier', 'flyer', 'throwaway']",an advertisement (usually printed on a page or in a leaflet) intended for wide distribution,['he mailed the circular to all subscribers']
52,page,signature.n.05,['signature'],a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book,[]
53,pages,microfiche.n.01,['microfiche'],small sheet of microfilm on which many pages of material have been photographed; a magnification system is used to read the material,[]
54,pages,google.n.01,['Google'],a widely used search engine that uses text-matching techniques to find web pages that are important and relevant to a user's search,[]
55,primitive,missionary_position.n.01,['missionary_position'],a position for sexual intercourse; a man and woman lie facing each other with the man on top; so-called because missionaries thought it the proper position for primitive peoples,[]
56,primitive,ordeal.n.02,"['ordeal', 'trial_by_ordeal']",a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence,[]
57,primitive,atavist.n.01,"['atavist', 'throwback']",an organism that has the characteristics of a more primitive type of that organism,[]
58,primitive,ictodosaur.n.01,['ictodosaur'],intermediate in form between the therapsids and most primitive true mammals,[]
59,primitive,geophagy.n.01,"['geophagy', 'geophagia']","eating earth, clay, chalk; occurs in some primitive tribes, sometimes in cases of nutritional deficiency or obsessive behavior",[]
60,race,racism.n.02,"['racism', 'racialism', 'racial_discrimination']",discriminatory or abusive behavior towards members of another race,[]
61,race,racially.r.01,['racially'],with respect to race,['racially integrated']
62,races,interracial.s.02,"['interracial', 'mixed']",involving or composed of different races,"['interracial schools', 'a mixed neighborhood']"
63,races,racism.n.01,['racism'],the prejudice that members of one race are intrinsically superior to members of other races,[]
64,roots,procumbent.s.01,['procumbent'],having stems that trail along the ground without putting down roots,[]
65,roots,phrenic_nerve.n.01,"['phrenic_nerve', 'nervus_phrenicus']",one of a pair of nerves that arises from cervical spinal roots and passes down the thorax to innervate the diaphragm and control breathing,[]
66,roots,psilotales.n.01,"['Psilotales', 'order_Psilotales']",lower vascular plants having dichotomously branched sporophyte divided into aerial shoot and rhizome and lacking true roots,[]
67,roots,bryophyta.n.01,"['Bryophyta', 'division_Bryophyta']",a division of nonflowering plants characterized by rhizoids rather than true roots and having little or no organized vascular tissue and showing alternation of generations between gamete-bearing forms and spore-bearing forms; comprises true mosses (Bryopsida) and liverworts (Hepaticopsida) and hornworts (Anthoceropsida),[]
68,roots,home.a.02,['home'],relating to or being where one lives or where one's roots are,['my home town']
69,roots,rooting.n.01,['rooting'],the process of putting forth roots and beginning to grow,[]
70,roots,mangrove.n.01,"['mangrove', 'Rhizophora_mangle']",a tropical tree or shrub bearing fruit that germinates while still on the tree and having numerous prop roots that eventually form an impenetrable mass and are important in land building,[]
71,roots,accessory_nerve.n.01,"['accessory_nerve', 'spinal_accessory', 'nervus_accessorius', 'eleventh_cranial_nerve']",arises from two sets of roots (cranial and spinal) that unite to form the nerve,[]
72,servant,indenture.v.01,"['indenture', 'indent']","bind by or as if by indentures, as of an apprentice or servant",['an indentured servant']
73,servant,slavish.s.02,"['slavish', 'subservient', 'submissive']",abjectly submissive; characteristic of a slave or servant; ; - S.H.Adams,"['slavish devotion to her job ruled her life', 'a slavish yes-man to the party bosses', 'she has become submissive and subservient']"
74,servant,menial.n.01,['menial'],a domestic servant,[]
75,slave,freeman.n.01,"['freeman', 'freewoman']",a person who is not a serf or a slave,[]
76,slave,slavelike.s.01,['slavelike'],suitable for a slave or servant,[]
77,slaves,slaveholder.n.01,"['slaveholder', 'slave_owner', 'slaver']",someone who holds slaves,[]
78,slaves,turner.n.01,"['Turner', 'Nat_Turner']",United States slave and insurrectionist who in 1831 led a rebellion of slaves in Virginia; he was captured and executed (1800-1831),[]
79,traditional,traditionalist.n.01,"['traditionalist', 'diehard']",one who adheres to traditional views,[]
80,traditional,atonal.a.01,"['atonal', 'unkeyed']",characterized by avoidance of traditional western tonality,[]
81,traditional,urals.n.01,"['Urals', 'Ural_Mountains']",a mountain range in western Russia extending from the Arctic to the Caspian Sea; forms part of the traditional boundary between Europe and Asia,[]
82,tribe,detribalize.v.01,"['detribalize', 'detribalise']",cause members of a tribe to lose their cultural identity,[]
83,tribes,geophagy.n.01,"['geophagy', 'geophagia']","eating earth, clay, chalk; occurs in some primitive tribes, sometimes in cases of nutritional deficiency or obsessive behavior",[]
84,western,occidentalize.v.01,"['occidentalize', 'occidentalise', 'westernize', 'westernise']",make western in character,['The country was Westernized after it opened up']
85,western,people_against_gangsterism_and_drugs.n.01,"['People_against_Gangsterism_and_Drugs', 'PAGAD']",a terrorist organization in South Africa formed in 1996 to fight drug lords; evolved into a vigilante group with anti-western views closely allied with Qibla; is believed to have ties to Islamic extremists in the Middle East; is suspected of conducting bouts of urban terrorism,[]
86,western,western_australia.n.01,['Western_Australia'],a state containing the western third of Australia,[]
87,western,westernization.n.01,"['Westernization', 'Westernisation']",assimilation of Western culture; the social process of becoming familiar with or converting to the customs and practices of Western civilization,[]
88,western,monroe_doctrine.n.01,['Monroe_Doctrine'],an American foreign policy opposing interference in the western hemisphere from outside powers,[]
89,western,common_water_snake.n.01,"['common_water_snake', 'banded_water_snake', 'Natrix_sipedon', 'Nerodia_sipedon']",in some classifications placed in the genus Nerodia; western United States snake that seldom ventures far from water,[]
90,white,wasp.n.01,"['WASP', 'white_Anglo-Saxon_Protestant']",a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination,[]
91,white,afrikaans.a.01,"['Afrikaans', 'Afrikaner']",belonging or relating to white people of South Africa whose ancestors were Dutch or to their language,"['an Afrikaans couple', 'Afrikaner support']"
92,white,ku_klux_klan.n.01,"['Ku_Klux_Klan', 'Klan', 'KKK']",a secret society of white Southerners in the United States; was formed in the 19th century to resist the emancipation of slaves; used terrorist tactics to suppress Black people,[]
93,white,piperin.n.01,"['piperin', 'piperine']",derived from pepper (especially black pepper); source of the hotness of black and white pepper,[]
94,white,anglo-saxon.n.02,['Anglo-Saxon'],a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant',"['in the ninth century the Vikings began raiding the Anglo-Saxons in Britain', 'his ancestors were not just British, they were Anglo-Saxons']"
