,query_term,lang,odwn_le,odwn_sense_def,odwn_synset_def,odwn_sense_ex,odwn_total
0,aboriginal,nl,1,0,0,0,1
1,achterlijke,nl,1,0,0,0,1
2,achterlijkheid,nl,2,0,0,0,2
3,afkomst,nl,3,5,5,9,22
4,allochtonen,nl,0,0,0,5,5
5,allochtoon,nl,1,0,0,0,1
6,baboe,nl,1,0,0,0,1
7,barbaar,nl,3,0,0,0,3
8,barbaren,nl,0,0,0,2,2
9,bediend,nl,0,0,0,2,2
10,bediende,nl,2,1,1,8,12
11,berber,nl,1,0,0,0,1
12,berbers,nl,1,0,0,0,1
13,birma,nl,2,0,0,1,3
14,blank,nl,0,0,0,2,2
15,blanke,nl,1,1,1,4,7
16,blanken,nl,0,0,0,2,2
17,bosneger,nl,1,0,0,0,1
18,derde wereld,nl,0,1,1,4,6
19,dwerg,nl,1,0,0,0,1
20,dwergen,nl,0,0,0,2,2
21,eskimo,nl,1,0,0,0,1
22,eskimo's,nl,0,0,0,1,1
23,etniciteit,nl,1,0,0,0,1
24,etnische groepen,nl,0,0,0,1,1
25,gay,nl,1,0,0,0,1
26,gehandicapte,nl,0,1,1,2,4
27,gehandicapten,nl,0,1,0,10,11
28,gekleurd,nl,0,1,0,4,5
29,gekleurde,nl,0,3,3,2,8
30,halfbloed,nl,3,0,0,0,3
31,handicap,nl,5,2,2,8,17
32,handicaps,nl,0,0,0,1,1
33,hermafrodiet,nl,2,0,0,0,2
34,homo,nl,1,1,1,1,4
35,homo's,nl,0,1,1,7,9
36,homoseksualiteit,nl,2,0,0,0,2
37,homoseksueel,nl,0,0,0,1,1
38,homoseksuele,nl,1,1,1,1,4
39,homoseksuelen,nl,0,2,1,0,3
40,inboorling,nl,1,0,0,0,1
41,inboorlingen,nl,0,0,0,1,1
42,indiaan,nl,1,1,1,0,3
43,indianen,nl,0,1,1,7,9
44,indisch,nl,0,3,2,1,6
45,indische,nl,0,1,1,6,8
46,indo,nl,0,1,1,0,2
47,inheemse,nl,0,1,1,2,4
48,inlanders,nl,0,0,0,1,1
49,inuit,nl,1,0,0,0,1
50,islamiet,nl,1,1,0,0,2
51,islamieten,nl,0,0,0,1,1
52,jap,nl,1,0,0,0,1
53,jappenkamp,nl,1,0,0,1,2
54,jappenkampen,nl,0,1,0,0,1
55,kaffer,nl,2,0,0,1,3
56,kaukasische,nl,1,0,0,0,1
57,knecht,nl,2,3,2,0,7
58,knechten,nl,1,0,0,2,3
59,koelie,nl,2,0,0,0,2
60,koppensneller,nl,1,0,0,0,1
61,lilliputter,nl,1,0,0,0,1
62,medicijnman,nl,1,0,0,0,1
63,mesties,nl,1,0,0,0,1
64,mohammedaan,nl,1,2,1,0,4
65,mohammedanen,nl,0,1,1,0,2
66,mongool,nl,1,0,0,0,1
67,mongools,nl,1,0,0,0,1
68,moor,nl,3,0,0,0,3
69,moren,nl,0,0,0,1,1
70,mulat,nl,2,0,0,0,2
71,neger,nl,2,2,2,0,6
72,negers,nl,0,3,2,1,6
73,ontdekken,nl,4,3,2,14,23
74,ontwikkelingsland,nl,1,0,0,1,2
75,ontwikkelingslanden,nl,0,3,3,2,8
76,page,nl,2,0,0,0,2
77,politionele acties,nl,0,0,0,1,1
78,primitief,nl,0,2,3,0,5
79,primitieve,nl,0,1,1,1,3
80,pygmeeÃ«n,nl,0,0,0,1,1
81,ras,nl,2,5,5,2,14
82,rassen,nl,0,3,3,1,7
83,slaaf,nl,3,1,2,3,9
84,slaven,nl,1,2,2,2,7
85,stam,nl,0,0,1,3,4
86,stammen,nl,1,1,1,8,11
87,trans,nl,2,0,0,1,3
88,travestiet,nl,1,0,0,0,1
89,westers,nl,0,1,0,1,2
90,westerse,nl,0,0,0,8,8
91,wit,nl,0,1,1,1,3
92,witte,nl,0,0,0,7,7
93,zigeuners,nl,0,2,2,2,6
94,zwart,nl,0,2,2,1,5
95,zwarte,nl,3,1,1,3,8
96,zwarten,nl,0,0,0,3,3
