query_term,lang,wd_pref,wd_aliases,wd_descr,wd_total,aat_pref,aat_alt,aat_scopeNote,aat_total,pwn_le,pwn_def,pwn_examples,pwn_total,total_hits
batavias,en,,,,0,,,,0,,,,0,0
batavia,en,1,,,1,,,,0,,,,0,1
southern rhodesia,en,1,,,1,,,,0,,,,0,1
madras,en,,1,,1,,,,0,1,1,,2,3
low-income country,en,,,,0,,,,0,,,,0,0
low-income countries,en,,,,0,,,,0,,,,0,0
headhunters,en,,,,0,,,,0,,,,0,0
headhunter,en,,,,0,,,,0,1,,,1,1
immigrants,en,,,,0,1,1,,2,,,,0,2
immigrant,en,1,,,1,,2,,2,1,,,1,4
barbarians,en,,,,0,,,,0,,,,0,0
barbarian,en,1,,,1,,,,0,3,,1,4,5
moors,en,1,,,1,,,,0,,,,0,1
moor,en,,,,0,,1,,1,1,,,1,2
indians,en,,4,,4,,,,0,,,,0,4
indian,en,,,,0,,3,1,4,1,,1,2,6
homos,en,,,,0,,,,0,,,,0,0
homo,en,,,,0,,,,0,1,,,1,1
exotics,en,,,,0,,,,0,,,,0,0
exotic,en,,,,0,,,,0,2,,5,7,7
allochtoons,en,,,,0,,,,0,,,,0,0
allochtoon,en,1,,,1,,,,0,,,,0,1
medicine men,en,,,,0,,1,,1,,,,0,1
medicine man,en,1,,,1,,,,0,,,,0,1
third world,en,1,,,1,,1,,1,,,,0,2
servants,en,,,,0,1,1,,2,,,,0,2
servant,en,,3,,3,,2,,2,1,,,1,6
hottentots,en,,,,0,,,1,1,,,,0,1
hottentot,en,1,,,1,,1,,1,,,,0,2
gypsies,en,,1,,1,,,,0,,,,0,1
gypsys,en,,,,0,,,,0,,,,0,0
gypsy,en,,1,,1,,1,,1,2,1,,3,5
coolies,en,,,,0,,,,0,,,,0,0
coolie,en,1,,,1,,,,0,1,,,1,2
whitest,en,,,,0,,,,0,,,,0,0
whiter,en,,,,0,,,,0,,,,0,0
whites,en,,1,,1,,,,0,,1,,1,2
white,en,1,4,,5,,,,0,3,,3,6,11
caucasians,en,,,,0,,,,0,,,,0,0
caucasian,en,1,,,1,1,,,1,2,2,,4,6
kaffirs,en,,1,,1,,,,0,,,,0,1
kaffir,en,1,,,1,,,,0,1,,,1,2
descent,en,1,,1,2,,,,0,3,,,3,5
mohammedans,en,,,,0,,,,0,,,,0,0
mohammedan,en,1,,,1,,1,,1,2,,,2,4
mongoloids,en,,,,0,,,,0,,,,0,0
mongoloid,en,1,,,1,,,,0,5,1,1,7,8
discover,en,,,,0,,,,0,1,,,1,1
homosexuals,en,,1,,1,1,,,1,,,,0,2
homosexual,en,,2,1,3,,1,,1,2,,,2,6
baboos,en,,,,0,,,,0,,,,0,0
baboo,en,,,,0,,,,0,,,,0,0
pygmys,en,,,,0,,,,0,,,,0,0
pygmy,en,1,,,1,1,1,1,3,2,,,2,6
pages,en,,,,0,,,,0,,,,0,0
page,en,1,1,,2,,,,0,2,,,2,4
bush negroes,en,,,,0,,,,0,,,,0,0
bush negros,en,,,,0,,,,0,,,,0,0
bush negro,en,,,,0,,,,0,,,,0,0
second world,en,1,,,1,,,,0,,,,0,1
natives,en,,,,0,,,,0,,,1,1,1
native,en,,,,0,1,4,1,6,4,,4,8,14
bombays,en,,,,0,,,,0,,,,0,0
bombay,en,,1,,1,,,,0,1,,,1,2
negros,en,,,,0,,,,0,,,,0,0
negroes,en,,,,0,,,,0,,,,0,0
negro,en,1,,,1,,1,,1,2,,1,3,5
berbers,en,1,,,1,,1,,1,,,,0,2
berber,en,,1,,1,1,,,1,1,,,1,3
mulattos,en,,,,0,,,,0,,,,0,0
mulattoes,en,,,,0,,,,0,,,,0,0
mulatto,en,1,,,1,,,,0,1,,,1,2
disableds,en,,,,0,,,,0,,,,0,0
disabled,en,,3,,3,,2,,2,2,,2,4,9
roots,en,,,,0,,,,0,,,,0,0
mestizoes,en,,,,0,,,,0,,,,0,0
mestizos,en,,1,,1,,,,0,,,,0,1
mestizo,en,1,1,,2,,,,0,1,,,1,3
developing nation,en,,,,0,,,,0,,,,0,0
developing nations,en,,,,0,,1,,1,,,,0,1
westerns,en,,,,0,,,,0,,,,0,0
western,en,1,3,,4,,,,0,1,1,2,4,8
aboriginals,en,,,,0,,,,0,,,,0,0
aboriginal,en,,1,,1,,1,,1,2,,2,4,6
transvestites,en,,,,0,,,,0,,,,0,0
transvestite,en,,1,,1,,1,1,2,2,,,2,5
eskimos,en,,1,,1,,,,0,,,,0,1
eskimoes,en,,,,0,,,,0,,,,0,0
eskimo,en,1,,,1,1,1,,2,1,1,,2,5
hermaphrodites,en,,,,0,1,,,1,,,,0,1
hermaphrodite,en,1,,,1,,1,1,2,1,,,1,4
gayest,en,,,,0,,,,0,,,,0,0
gays,en,,,,0,,,,0,,,,0,0
gayer,en,,,,0,,,,0,,,,0,0
gay,en,1,2,,3,,1,,1,2,,,2,6
indos,en,,,,0,,,,0,,,,0,0
indo,en,1,3,1,5,1,3,1,5,,,,0,10
orientals,en,,,,0,,,,0,,,,0,0
oriental,en,,,,0,,1,,1,1,,1,2,3
coloreds,en,,,,0,,,,0,,,,0,0
colored,en,1,,,1,,,,0,1,,,1,2
inuits,en,,1,,1,,,,0,,,,0,1
inuit,en,1,,,1,1,,,1,1,1,,2,4
blacks,en,,1,,1,,,,0,,,,0,1
blacker,en,,,,0,,,,0,,,,0,0
blackest,en,,,,0,,,,0,,,,0,0
black,en,1,3,,4,1,,,1,2,,1,3,8
queers,en,,,,0,,,,0,,,,0,0
queerest,en,,,,0,,,,0,,,,0,0
queerer,en,,,,0,,,,0,,,,0,0
queer,en,1,,,1,,1,,1,2,,,2,4
calcuttas,en,,,,0,,,,0,,,,0,0
calcutta,en,,1,,1,,,,0,1,,,1,2
ethnic group,en,1,,,1,,1,,1,,,,0,2
ethnic groups,en,,1,,1,1,,,1,,,,0,2
maroons,en,1,,,1,,,,0,,,,0,1
maroon,en,,,,0,1,1,1,3,,,,0,3
transs,en,,,,0,,,,0,,,,0,0
trans,en,,5,,5,,,,0,,,,0,5
half-breeds,en,,,,0,,,,0,,,,0,0
half-breed,en,1,,,1,,,,0,1,,,1,2
lilliputians,en,,,,0,,,,0,,,,0,0
lilliputian,en,,1,,1,,,,0,1,1,,2,3
dwarfer,en,,,,0,,,,0,,,,0,0
dwarves,en,,,,0,,1,,1,,,,0,1
dwarfs,en,,,,0,1,1,,2,,,,0,2
dwarfest,en,,,,0,,,,0,,,,0,0
dwarf,en,,,,0,,2,,2,1,,,1,3
half-bloods,en,,,,0,,,,0,,,,0,0
half-blood,en,,,,0,,,,0,,,,0,0
burma,en,,2,,2,,,,0,1,,,1,3
races,en,,2,,2,,2,,2,,,1,1,5
race,en,1,1,,2,1,,,1,1,,,1,4
handicaps,en,,,,0,,,,0,,,,0,0
handicap,en,,2,,2,,,,0,2,,,2,4
primitives,en,,,,0,,,,0,,,,0,0
primitive,en,1,2,1,4,1,1,,2,4,,4,8,14
retarded,en,,1,,1,,1,,1,2,1,2,5,7
footman,en,1,,,1,,,,0,1,,,1,2
footmen,en,,,,0,,,,0,,,,0,0
slaves,en,,,,0,,2,,2,,,,0,2
slave,en,,1,,1,,2,,2,1,,,1,4
first world,en,1,,,1,,1,1,2,,,,0,3
ethnicities,en,,,,0,,,,0,,,,0,0
ethnicity,en,1,1,,2,1,,,1,1,,1,2,5
primitivism,en,1,,,1,1,1,,2,2,,,2,5
indigenous,en,1,2,,3,1,4,,5,1,,1,2,10
traditionals,en,,,,0,,,,0,,,,0,0
traditional,en,,,,0,1,2,,3,1,,2,3,6
full blood,en,,,,0,,,,0,,,,0,0
metis,en,,1,,1,1,,1,2,,,,0,3
métis,en,1,,,1,,1,,1,,,,0,2
tribes,en,,,,0,1,,,1,,,,0,1
tribe,en,1,1,,2,,1,,1,3,,,3,6
