entity_id,term,text_1,text_2,text_3,text_4,text_5,check,cannot_decide
odwn-10-101180571-n,aboriginal,aboriginal,oorspronkelijke bewoner van Australië,[],['aboriginal'],['oorspronkelijke bewoner van Australië'],TRUE,FALSE
eng-30-07970721-n,afkomst,geslacht,mensen met gemeenschappelijke afkomst,"['het geslacht van de Bourbons', 'stammen uit een nobel/adellijk geslacht', 'van een voornaam geslacht', 'tot een rijk/adellijk/aanzienlijk/oud geslacht behoren']","['familie', 'geslacht', 'huis', 'maagschap', 'staak', 'stam', 'tak']","['verzameling van bloedverwanten', 'mensen met gemeenschappelijke afkomst', 'geslacht van mensen', 'familietak', 'alle mensen van één geslacht', 'deel v.e. familie']",TRUE,FALSE
eng-30-10390902-n,barbaar,barbaar,,[],['barbaar'],[],FALSE,TRUE
eng-30-10582154-n,bediende,bediende,huisbediende,['een bediende in livrei'],"['hulpje', 'hulp', 'bediende']",['huisbediende'],TRUE,FALSE
eng-30-02396205-v,bediende,aanstellen,in een functie benoemen,"['er werd een nieuwe bediende aangesteld', 'een bediende aanstellen', 'de gewezen wereldreiziger werd als burgemeester aangesteld', 'iemand als [burgemeester] aanstellen']","['aanstellen', 'aanwijzen', 'benoemen', 'designeren', 'maken']","['in een functie benoemen', 'functie of status verlenen', 'een ambt toekennen', 'in een positie brengen']",FALSE,FALSE
odwn-10-101393848-n,bediende,livrei,uniform voor huispersoneel,['(een bediende) in livrei'],['livrei'],['uniform voor huispersoneel'],TRUE,FALSE
eng-30-08715390-n,birma,Birma,,[],"['Birma', 'Unie Myanmar', 'Myanmar']",[],TRUE,FALSE
odwn-10-103541331-n,blank,blanke,iemand met lichte huidskleur,"['blanken en zwarten worden in Zuid-Afrika niet langer apart gehouden', 'onder de apartheid hadden blanken meer rechten dan zwarten']",['blanke'],['iemand met lichte huidskleur'],TRUE,FALSE
eng-30-01327322-n,halfbloed,halfbloed,,[],"['kruis', 'kruising', 'hybride', 'halfbloed']",[],FALSE,TRUE
eng-30-10157378-n,halfbloed,halfbloed,,[],"['halfbloed', 'kleurling']",[],TRUE,FALSE
eng-30-10157549-n,halfbloed,halfbloed,persoon van gemengde afkomst,[],"['halfbloed', 'kleurling']","['persoon van gemengde afkomst', 'kind van verschillende rassen']",TRUE,FALSE
odwn-10-101168606-n,handicap,handicap,,[],"['gebrekkigheid', 'handicap', 'ongemak']",[],TRUE,FALSE
eng-30-10172080-n,hermafrodiet,hermafrodiet,,[],['hermafrodiet'],[],FALSE,TRUE
eng-30-00856847-n,homoseksualiteit,homoseksualiteit,,[],"['homoseksualiteit', 'sodomie']","['seksuele geaardheid v.e. homofiel', 'tegennatuurlijk seksueel gedrag']",TRUE,FALSE
odwn-10-103586613-n,inboorling,inboorling,,[],['inboorling'],[],FALSE,TRUE
odwn-10-107563512-v,indiaan,bekeren,tot een overtuiging brengen,['de indianen bekeren'],['bekeren'],['tot een overtuiging brengen'],FALSE,TRUE
odwn-10-101655623-n,indisch,beo,Indische vogel,[],['beo'],['Indische vogel'],FALSE,FALSE
odwn-10-104600207-n,indo,Iraans,Indo-Germaanse taalfamilie,[],['Iraans'],['Indo-Germaanse taalfamilie'],FALSE,FALSE
eng-30-12268246-n,inheems,eik,bepaalde inheemse boom,['een eeuwenoude eik'],"['eik', 'eikeboom', 'eikenboom']",['bepaalde inheemse boom'],FALSE,FALSE
odwn-10-102422747-n,inheems,vissoort,soorten van vis,"['in de Noordzee leven tweehonderdvierentwintig vissoorten', 'inheemse/uitheemse/exotische vissoorten']",['vissoort'],['soorten van vis'],FALSE,FALSE
odwn-10-104714918-n,inlander,inlander,oorspronkelijke bewoner v.e. land,['de tropenbossen bieden huisvesting aan miljoenen inlanders'],['inlander'],['oorspronkelijke bewoner v.e. land'],TRUE,FALSE
odwn-10-100569798-n,islamiet,islamiet,aanhanger v.d. islam,[],['islamiet'],['aanhanger v.d. islam'],TRUE,FALSE
eng-30-01189427-v,islamiet,vasten,niet eten en drinken,['tijdens de Ramadan vasten de islamieten'],['vasten'],['niet eten en drinken'],TRUE,FALSE
odwn-10-103201483-n,jap,Jap,Japanner,[],['Jap'],['Japanner'],TRUE,FALSE
eng-30-10410815-n,kaffer,kaffer,lomperik,['Wat een kaffer is dat!'],"['primitieveling', 'barbaar', 'boer', 'boerenhufter', 'boerenkaffer', 'boerenkarhengst', 'boerenkinkel', 'boerenlul', 'boerenpummel', 'botterik', 'grobbejanus', 'heikneuter', 'hork', 'hufter', 'kaffer', 'kinkel', 'lomperd', 'lomperik', 'palurk', 'plebejer', 'plomperd', 'proleet', 'pummel', 'raudauwer', 'rouwdouw', 'rouwdouwer', 'vlegel', 'woudezel']","['iemand zonder manieren', 'pummel', 'stommeling', 'lomperd', 'lomperik', 'pummel', 'onbeschoft persoon', 'lomperik', 'botterik', 'zeer onbeleefd iemand', 'onhandig iemand', 'prehistorische mens', 'onbeschoft iemand', 'onbeschaafd iemand', 'onbeschaafd iemand', 'onbeschoft iemand']",TRUE,FALSE
odwn-10-100082478-n,kaffer,kaffer,bantoeneger,[],['kaffer'],['bantoeneger'],TRUE,FALSE
eng-30-02496816-v,knecht,knechten,onderdrukken,"['sommige graven waren ware potentaten, die de bevolking in hun graafschap met harde hand knechtten', 'de bevolking knechten']","['bedwingen', 'kleinkrijgen', 'knechten', 'onderwerpen']","['beteugelen', 'intimideren', 'onderdrukken', 'onder je gezag brengen']",FALSE,FALSE
eng-30-10626439-n,medicijnman,medicijnman,dokter bij natuurvolken,[],['medicijnman'],['dokter bij natuurvolken'],TRUE,FALSE
odwn-10-100513750-n,mesties,mesties,kruising v.e. blanke en een indiaan,[],['mesties'],['kruising v.e. blanke en een indiaan'],TRUE,FALSE
odwn-10-107525787-n,mohammedaan,mohammedaan,aanhanger v.d. islam,[],['mohammedaan'],['aanhanger v.d. islam'],TRUE,FALSE
eng-30-03788195-n,mohammedaan,moskee,kerk v.d. mohammedanen,[],"['mesigit', 'missigit', 'moskee']",['kerk v.d. mohammedanen'],FALSE,FALSE
eng-30-09638454-n,mulat,mulat,,[],"['mulattin', 'halfbloed', 'mulat']",[],TRUE,FALSE
odwn-10-106536961-n,mulat,mulat,kind van één blanke en één zwarte ouder,[],['mulat'],['kind van één blanke en één zwarte ouder'],TRUE,FALSE
odwn-10-106512680-n,neger,soulmuziek,muzieksoort ontstaan bij negers,[],['soulmuziek'],['muzieksoort ontstaan bij negers'],TRUE,FALSE
odwn-10-100905185-v,ontwikkelingsland,uitzenden,mensen sturen,['iemand als arts naar een ontwikkelingsland uitzenden'],"['rondstralen', 'uitzenden']",['mensen sturen'],TRUE,FALSE
odwn-10-107793684-n,ontwikkelingsland,ontwikkelingsland,land met weinig (economische) groei,['in de ontwikkelingslanden'],['ontwikkelingsland'],['land met weinig (economische) groei'],TRUE,FALSE
eng-30-09183693-n,pygmee,zede,algemene gewoonte of gebruik,['zeden en gewoonten (van de Pygmeeën)'],"['moraal', 'moralisme', 'moraliteit', 'zede', 'zeden']","['opvatting over goed en slecht', 'zienswijze bepaald door moraal', 'algemene gewoonte of gebruik', 'ethische normen en regels']",TRUE,FALSE
eng-30-06320569-n,stam,werkwoord,woordsoort voor handeling/staat/proces,"['de stam van een werkwoord', 'wederkerende werkwoorden', 'een scheidbaar samengesteld werkwoord', 'regelmatige/onregelmatige werkwoorden', 'de modale werkwoorden', 'een reflexief werkwoord', 'onovergankelijke/intransitieve werkwoorden', 'zwakke/sterke werkwoorden', 'overgankelijke/transitieve werkwoorden', 'een werkwoord vervoegen']","['verbum', 'werkwoord']","['werkwoord', 'woordsoort voor handeling/staat/proces']",FALSE,FALSE
eng-30-13941469-n,westers,welvaartspeil,hoogte v.d. welvaart,"['een laag welvaartspeil', 'de westerse landen hebben een hoog welvaartspeil', 'een hoog welvaartspeil', 'het welvaartspeil stijgt']","['levenspeil', 'levensstandaard', 'welvaartspeil']","['materieel niveau v.h. leven', 'kosten om te leven', 'hoogte v.d. welvaart']",TRUE,FALSE
odwn-10-100857451-v,zigeuner,brandmerken,een slechte naam bezorgen,"['zigeuners werden in het verleden al gauw gebrandmerkt als dieven', 'iemand brandmerken als dief', 'de televisie brandmerken als de grote boosdoener']",['brandmerken'],['een slechte naam bezorgen'],TRUE,FALSE