entity_id,term,text_1,text_2,text_3,check,cannot_decide
barbarian.s.01,barbarian,"barbarian', 'barbaric', 'savage', 'uncivilized', 'uncivilised', 'wild'",without civilizing influences; ; ; ; -Margaret Meade,"barbarian invaders', 'barbaric practices', 'a savage people', 'fighting is crude and uncivilized especially if the weapons are efficient', 'wild tribes'",TRUE,FALSE
irrawaddy.n.01,burma,"Irrawaddy', 'Irrawaddy_River'",the main river of Myanmar rising in the north and flowing south through the length of Burma to empty into the Andaman Sea,,FALSE,TRUE
pepper.n.01,burma,"pepper', 'common_pepper', 'black_pepper', 'white_pepper', 'Madagascar_pepper', 'Piper_nigrum'",climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam,,FALSE,TRUE
black_hole_of_calcutta.n.01,calcutta,Black_Hole_of_Calcutta',a dungeon (20 feet square) in a fort in Calcutta where as many as 146 English prisoners were held overnight by Siraj-ud-daula; the next morning only 23 were still alive,,FALSE,FALSE
siraj-ud-daula.n.01,calcutta,Siraj-ud-daula',Indian general and nawab of Bengal who opposed the colonization of India by England; he captured Calcutta in 1756 and many of his prisoners suffocated in a crowded room that became known as the Black Hole of Calcutta; he was defeated at the battle of Plassey by a group of Indian nobles in alliance with Robert Clive (1728-1757),,FALSE,TRUE
ubykh.n.01,caucasian,Ubykh',an extinct Caucasian language spoken exclusively in Turkey,,FALSE,FALSE
bleached.s.02,colored,"bleached', 'colored', 'coloured', 'dyed'",(used of color) artificially produced; not natural,a bleached blonde',FALSE,FALSE
external.s.03,developing nations,"external', 'international', 'outside'",from or between other countries,"external commerce', 'international trade', 'developing nations need outside help'",FALSE,FALSE
international_bank_for_reconstruction_and_development.n.01,developing nations,"International_Bank_for_Reconstruction_and_Development', 'World_Bank', 'IBRD'",a United Nations agency created to assist developing nations by loans guaranteed by member governments,,FALSE,FALSE
locate.v.01,discover,"locate', 'turn_up'",discover the location of; determine the place of; find by searching or examining,"Can you locate your cousins in the Midwest?', 'My search turned up nothing'",FALSE,TRUE
dryadella.n.01,dwarf,"Dryadella', 'genus_Dryadella'",comprises tropical American species usually placed in genus Masdevallia: very dwarf plants having short tufted and usually unifoliate stems with usually solitary flowers,,FALSE,FALSE
ethnocentric.a.01,ethnic groups,ethnocentric',"centered on a specific ethnic group, usually one's own",,FALSE,FALSE
commemorate.v.02,first world,"commemorate', 'remember'","call to remembrance; keep alive the memory of someone or something, as in a ceremony","We remembered the 50th anniversary of the liberation of Auschwitz', 'Remember the dead of the First World War'",FALSE,FALSE
tinker.n.02,gypsy,tinker',formerly a person (traditionally a Gypsy) who traveled from place to place mending pots and kettles and other metal utensils as a way to earn a living,,TRUE,FALSE
half-blooded.s.01,half-breed,"half-blooded', 'half-bred', 'half-breed'",(of animals) having only one purebred parent,,FALSE,TRUE
headhunter.n.02,headhunter,"headhunter', 'head-shrinker'",a savage who cuts off and preserves the heads of enemies as trophies,,TRUE,FALSE
superstrate.n.02,indigenous,"superstrate', 'superstratum'",the language of a later invading people that is imposed on an indigenous population and contributes features to their language,,FALSE,FALSE
balto-slavic.n.01,indo,"Balto-Slavic', 'Balto-Slavic_language', 'Balto-Slavonic'",a family of Indo-European languages including the Slavic and Baltic languages,,FALSE,FALSE
jat.n.01,indo,Jat',a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs,,FALSE,FALSE
nunavut.n.01,inuit,Nunavut',an Arctic territory in northern Canada created in 1999 and governed solely by the Inuit; includes the eastern part of what was the Northwest Territories and most of the islands of the Arctic Archipelago,Nunavut is the homeland of the Inuit people',FALSE,TRUE
lilliputian.n.01,lilliputian,lilliputian',a very small person (resembling a Lilliputian),,TRUE,FALSE
lilliputian.a.01,lilliputian,Lilliputian',tiny; relating to or characteristic of the imaginary country of Lilliput,the Lilliputian population',TRUE,FALSE
mestizo.n.01,mestizo,mestizo',a person of mixed racial ancestry (especially mixed European and Native American ancestry),,TRUE,FALSE
muhammadan.a.01,mohammedan,"Muhammadan', 'Mohammedan'",of or relating to the Arabian prophet Muhammad or to the religion he founded,,FALSE,TRUE
marston_moor.n.01,moor,Marston_Moor',a former moor in northern England,,FALSE,FALSE
quadroon.n.01,mulatto,quadroon',an offspring of a mulatto and a white parent; a person who is one-quarter black,,FALSE,TRUE
white.s.05,negro,"white', 'lily-white'",restricted to whites only,"under segregation there were even white restrooms and white drinking fountains', 'a lily-white movement which would expel Negroes from the organization'",FALSE,FALSE
neoplatonism.n.01,oriental,Neoplatonism',a system of philosophical and theological doctrines composed of elements of Platonism and Aristotelianism and oriental mysticism; its most distinctive doctrine holds that the first principle and source of reality transcends being and thought and is naturally unknowable,"Neoplatonism was predominant in pagan Europe until the 6th century', 'Neoplatonism was a major influence on early Christian writers and on later medieval and Renaissance thought and on Islamic philosophy'",FALSE,FALSE
absurd.s.02,page,"absurd', 'cockeyed', 'derisory', 'idiotic', 'laughable', 'ludicrous', 'nonsensical', 'preposterous', 'ridiculous'",so unreasonable as to invite derision,"the absurd excuse that the dog ate his homework', ""that's a cockeyed idea"", 'ask a nonsensical question and get a nonsensical answer', 'a contribution so small as to be laughable', 'it is ludicrous to call a cottage a mansion', 'a preposterous attempt to turn back the pages of history', 'her conceited assumption of universal interest in her rather dull children was ridiculous'",FALSE,FALSE
thwart.v.01,queer,"thwart', 'queer', 'spoil', 'scotch', 'foil', 'cross', 'frustrate', 'baffle', 'bilk'","hinder or prevent (the efforts, plans, or desires) of","""What ultimately frustrated every challenger was Ruth's amazing September surge"", 'foil your opponent'",FALSE,FALSE
supremacism.n.01,race,supremacism',the belief that some particular group or race is superior to all others,white supremacism',FALSE,FALSE
negative.s.03,retarded,negative',having the quality of something harmful or unpleasant,"ran a negative campaign', 'delinquents retarded by their negative outlook on life'",FALSE,TRUE
pink.v.02,retarded,"pink', 'ping', 'knock'",sound like a car engine that is firing too early,"the car pinged when I put in low-octane gasoline', 'The car pinked when the ignition was too far retarded'",FALSE,FALSE
enslavement.n.01,slave,"enslavement', 'captivity'",the state of being a slave; --Shakespeare,So every bondman in his own hand bears the power to cancel his captivity',FALSE,TRUE
teeming.s.01,third world,teeming',abundantly filled with especially living things,"""the Third World's teeming millions"", 'the teeming boulevard'",FALSE,FALSE
transvestite.n.01,transvestite,"transvestite', 'cross-dresser'",someone who adopts the dress or manner or sexual role of the opposite sex,,TRUE,FALSE
indian_agent.n.01,tribe,Indian_agent',a representative of the federal government to American Indian tribes (especially on Indian reservations),,FALSE,FALSE
west_african.n.01,western,West_African',a group of languages spoken in the extreme western part of West Africa,,FALSE,FALSE
dichotomy.n.01,western,"dichotomy', 'duality'",being twofold; a classification into two opposed parts or subclasses,the dichotomy between eastern and western culture',FALSE,TRUE
color_bar.n.01,white,"color_bar', 'colour_bar', 'color_line', 'colour_line', 'Jim_Crow'",barrier preventing blacks from participating in various activities with whites,,FALSE,TRUE