term,source_1,source_2,source_3,wm
medicijnman,"['religie', 'sjamanisme']",[],"['dokter bij natuurvolken', 'medicijnman']","['Deze term wordt gebruikt voor de traditionele of spirituele healers onder inheemse volken over de hele wereld. Deze personen zijn deskundig op het gebied van natuurlijke middelen en hun helende krachten. Traditionele healers zijn zeer gerespecteerde leden in hun gemeenschap. Zij worden geraadpleegd wanneer individuen fysiek of mentaal ziek zijn, maar ook om sociale, culturele of milieukwesties binnen de gemeenschap te genezen. De medicijnman is vertegenwoordigd in talloze films, romans en andere populaire media, vaak op een sensationele en erotiserende manier. Dergelijke voorstellingen ontkennen de complexiteit van de kennis die geassocieerd wordt met healing, net als de belangrijke rol die traditionele healers spelen in veel samenlevingen. In de afgelopen decennia zijn velen de term als pejoratief gaan beschouwen.']"
etnische groep,"['etnische groep', 'classificatiesysteem', 'bevolkingsgroep', 'persoonsgegevens']","['etnische groep', ""Subgroepen binnen een grotere culturele of sociale groep die zich onderscheiden van de meerderheid en van elkaar door hun nationale, religieuze, taalkundige, culturele of soms raciale achtergronden. Gebruik 'minderheden' voor groepen die het doelwit zijn van vooroordelen of discriminatie door de meerderheid."", 'etnische groepen']",[],"['‘Etniciteit’ verwijst naar de gedeelde sociale, culturele of historische ervaringen en praktijken van een groep mensen, bijvoorbeeld taal, religie of kleding, en meestal een nationale of regionale achtergrond. Mensen die deze kenmerken met elkaar delen, worden gezamenlijk omschreven als ‘etnische groep’. Hoewel dit een neutrale categorie lijkt te zijn, wordt het vaak gebruikt voor iemand of iets dat afwijkt van de norm of buitenlands is. Denk bijvoorbeeld aan ‘etnisch eten’ of ‘etnische muziek’. Wanneer het over mensen gaat, wordt de term normaal gesproken geassocieerd met minderheidsgroepen. Iedereen heeft echter een etnische identiteit. Etniciteit wordt soms verward met ras en door velen ten onrechte gebruikt als een alternatieve term, waar de verwijzing naar biologische verschillen omzeild wordt (zie: Ras).']"
birma,"['Myanmar', 'land', 'soevereine staat']",[],"['land in Azië', 'Birma']","['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
moor,"['Moren', 'etnische groep']",[],"['zwarte', 'negerin', 'iemand met een donkere huidskleur', 'De Moren veroverden Corsica in de negende eeuw.', 'roetmop', 'nikker', 'vrouw met donkere huidskleur', 'neger', 'Noordafrikaanse moslim', 'iemand met donkere huidskleur', 'duivel', 'moor', 'Moor', 'neger of vies persoon']","['‘Moor’ is een controversiële term waarvan de betekenis in de loop van de tijd is veranderd. Hoewel de term is gebruikt voor verschillende groepen mensen wordt het over het algemeen begrepen als een beschrijving van Moslims van Arabische en Amazigh\xad-afkomst uit Noord\xad-Afrika en Zuid\xad-Europa. Tegelijkertijd wordt gezegd dat de term is afgeleid van een Griekse term, die zwart of verkoold betekent en die sinds de oudheid in Europa wordt gebruikt om Zwarte mensen uit Afrika te beschrijven. In Nederland, evenals elders, wordt de term gebruikt als een denigrerende term voor moslims uit Noord\xad-Afrika of voor Zwarte mensen.']"
afkomst,"['komaf', 'groep levenden', 'verwantschap', 'organisatie']",[],"['kraamkamer', 'geografische of etnische oorsprong', 'descendentie', 'herkomst', 'wieg', 'afkomst', 'plaats waar iets is ontstaan', 'haard', 'ze is van Russische afkomst', 'komaf', 'ontstaansplek van iets', 'van een (bepaalde) afkomst [zijn]', 'geboorte', 'oorsprong', 'ik ben wie ik ben en ik kan mijn afkomst niet verloochenen', 'bakermat', 'plaats waar iets of iemand vandaan komt', 'afstamming', 'dit woord is van Grieks-Latijnse afkomst', 'begin, startpunt', 'origine']","[""‘Afkomst' is op zich geen controversiële term, maar de term wordt vaak gebruikt om aan iemand te vragen waar hij of zij geboren is. Omdat de vraag vaak gesteld wordt aan mensen waarvan op basis van hun uiterlijk aangenomen wordt dat zij ergens anders vandaan komen dan uit Nederland, kan de term in deze context wel als gevoelig ervaren worden (zie bijvoorbeeld ook Roots en Allochtoon en artikel Simone Zeefuik en Wayne Modest).""]"
kaffer,['Kaffer'],[],"['bantoeneger', 'kaffer']","['De term ‘kaffer’ komt van het Arabische ‘kafir’, dat iemand zonder religie betekent. In Zuid\xad-Afrika werd de term in de 16de eeuw gebruikt om Zwarte mensen te omschrijven die geen moslim waren en later als verwijzing naar mensen in Zuid\xad-Afrika die Bantoetalen spraken, voornamelijk tijdens de veroveringsoorlogen van de Oost\xad-Kaap. In de Afrikaanse en Engelse taal werd het al snel een label voor Zwarte mensen van Afrikaanse afkomst in het algemeen. De term kreeg zijn denigrerende connotatie tijdens de apartheid en wordt tegenwoordig beschouwd als haatzaaiende taal. De uitzondering is een groep mensen in Sri Lanka, die afstammen van Portugese handelaren (of meer algemeen: Europeanen) en tot slaaf gemaakte Bantoevolken.']"
indisch,"['historisch land', 'kolonie', 'Nederlands-Indië']","['Nederlands-Indonesisch', 'Nederlands-Indisch', 'Stijlen en cultuur die behoren tot koloniale periode in toenmalig Nederlands-Indië, nu Indonesië.']",[],"['De term ‘Indisch’ is in de loop van de tijd van betekenis veranderd. Hoewel de term niet altijd gevoelig is, is er vaak verwarring over het gebruik. In de 19de eeuw verwees de term naar alles wat Indonesisch was, zoals Indische huizen, Indische dansen en de Indische bevolking. In de 20ste eeuw begon het te verwijzen naar Indo\xad-Europese mensen en culturen (zie: Indo) en soms naar Europeanen die lang in Indonesië woonden. Aan het einde van de vorige eeuw werd deze betekenis echter door sommige mensen als te etnisch beschouwd en verworpen. Vandaag de dag verwijst het woord ‘Indisch’ naar alles wat uit de koloniale periode in het voormalige Nederlands\xad-Indië komt. Indisch wordt vaak verward met Indonesisch (eten, etniciteit en cultuur) vanwege het gebruik van de term in de 19de eeuw.']"
bediende,"['huishoudelijke hulp', 'beroep', 'dienstmeid']","['bediende', 'bedienden', 'dienaren', 'In algemene zin, personen die in dienst van particulieren persoonlijke of huishoudelijke werkzaamheden uitvoeren.']","['een bediende in livrei', 'hulpje', 'hulp', 'bediende', 'huisbediende']","[""‘Bediende’, ‘page’, ‘knecht’ en ‘baboe’ zijn termen die vaak voorkomen in museumdatabases, en dan met name in de beschrijvingen van schilderijen en foto’s. Deze verwante termen beschrijven een persoon die in andermans huishouden werkzaam is om huishoudelijke taken te verrichten, zoals koken en schoonmaken, of ter assistentie. De termen veronderstellen op zich geen grove uitbuiting ofschoon zij een hiërarchische relatie op basis van klasse en macht beschrijven die soms gekenmerkt wordt door uitbuiting. De veelvoudige en complexe relaties die bedienden kunnen hebben met hun meesters maken het niet makkelijk, zelfs riskant, om een oordeel te vellen over de rol van de bediende of de omstandigheden waaronder deze leefde. De term ‘page' beschrijft een jonge, mannelijke bediende die voor een edelman werkt, of – wanneer het de Renaissance betreft \xad als bediende voor modieuze dames en heren. Vandaag de dag wordt het in sommige kringen als vernederend of beledigend beschouwd om te verwijzen naar iemand als bediende of page. De term noemen in de beschrijving van historische schilderijen of foto’s kan in sommige gevallen echter wel worden aangeraden""]"
gay,"['seksuele minderheid', 'homoseksualiteit', 'gay', 'seksuele geaardheid', 'LGBTI']",[],"['holtor', 'homo', 'homoseksuele', 'sodemiet', 'homoseksueel persoon', 'homofiel persoon', 'mietje', 'flikker', 'homoseksueel', 'homofiel', 'gay', 'geïnverteerde', 'bruinwerker', 'nicht', 'poot', 'sodemieter', 'reetkever']","['‘Gay’ is een veelgebruikte term om te verwijzen naar niet\xadheteroseksuele seksualiteit, vooral mannen. ‘Gay’ heeft de voorkeur boven de algemene medische en juridische term ‘homoseksueel’ (zie: Homo). Hoewel ‘gay’ in het Nederlands door mensen wordt gebruikt om zichzelf te beschrijven, wordt de term in de dagelijkse context vaak door anderen gebruikt met een negatieve bedoeling. Ook ‘homo’ wordt gebruikt als een scheldwoord.']"
koppensneller,[],[],['koppensneller'],"['Historisch gezien werd de term gebruikt om iemand te omschrijven die deelneemt aan de rituele praktijk van het verkrijgen van trofee\xad-hoofden, bijvoorbeeld in tijden van oorlog. Dit ritueel werd op veel plaatsen en door vele volken over de hele wereld (inclusief Europeanen) uitgevoerd. In Nederland werd de term voor het eerst gebruikt in de 19de eeuw. Koppensnellen is al lang aanwezig in de populaire cultuur, bijvoorbeeld in boeken en films. Vaak om hiermee de indruk te wekken van primitieve, wilde, wrede en bloed\xad-dorstige volken uit de jungle. Dit geeft echter een verkeerde voorstelling van de significante rituele rol  die  koppensnellen had voor het goed functioneren van de samenlevingen die deze praktijken uitvoerden. Het gebruik van termen als deze versterkt het idee dat bepaalde mensen in wezen onveranderlijk en ‘primitief’ zijn.']"
inheems,"['minderheid', 'etnische groep', 'inheemse bevolking', 'bevolkingsgroep', 'volk']",[],[],"['‘Inheems’ werd oorspronkelijk gebruikt als beschrijving van flora en fauna. In de laatste paar decennia is de term echter steeds meer verworden tot een juridische categorie die verwijst naar verschillende door Europa gekoloniseerde volken. De term zelf beschrijft een bepaalde groep mensen die de oorspronkelijke bewoners zijn van een bepaalde plek en daar lange tradities hebben ontwikkeld. Tijdens diverse koloniale projecten werd hun land ontnomen, wat vaak leidde tot (culturele) genocide. De term ‘inheems’ is een geëmancipeerde term, deels dankzij de Verklaring over de Rechten van Inheemse Volkeren door de VN in 2007. ‘Inheems’ heeft onder meer betrekking op die mensen die gezien worden als ‘Aboriginals’, ‘First Nations’ en ‘Indianen’.']"
pygmee,"['etnische groep', 'Pygmeeën']","['Pygmee', 'Te gebruiken om werken te beschrijven van bepaalde Afrikaanse volkeren die leven in Kameroen, Equatoriaal-Guinea, de Democratische Republiek Congo, Congo, de Centraal-Afrikaanse Republiek, Rwanda en Burundi. De term Pygmee heeft soms een negatieve bijklank. Waar mogelijk verdient het gebruik van de specifieke naam van een subgroep de voorkeur.']","['pygmee', 'lid v.e. dwergvolk']","['‘Pygmee’ wordt in de antropologie gebruikt voor verschillende (etnische) groepen uit met name (Equatoriaal) Afrika en Azië (o.a. Nieuw\xad-Guinea), waarvan de volwassen mannen beschouwd worden als ongewoon klein. Deze verwijzing naar uiterlijke kenmerken, maar ook het feit dat de term gebruikt wordt als kritiek op iemands intellectuele capaciteiten, maakt dat sommigen de term als een belediging zien. Tegelijkertijd hebben sommige inheemse volken de term juist opnieuw opgeëist als neutraal en niet\xad-problematisch. Dit is bijvoorbeeld het geval in de Democratische Republiek Congo.', ""Dwerggroei (Achondroplasie) is een medische of genetische aandoening van kleine mensen. Als de term ‘dwerg' niet binnen de medische context wordt gebruikt, wordt het als een belediging opgevat. De term ‘dwerg’ wordt in het Nederlands gebruikt sinds de 14de eeuw. Toen had het de connotatie van monsterlijk. Satirische verbeeldingen van kleine mensen komen vaak voor in (de geschiedenis van) Europese kunst, literatuur en film. In 19de en vroeg 20ste\xadeeuwse koloniale tentoonstellingen, freak shows en circussen werden mensen met dwerggroei gezien als abnormaal ‘anders’, in sommige opzichten vergelijkbaar met de raciale verbeelding van gekoloniseerde mensen. Vergelijkbare beledigende termen zijn ‘lilliputter’ en ‘pygmee’""]"
islamiet,"['religieuze identiteit', 'moslim']",[],"['islamiet', 'aanhanger v.d. islam']","[""Alhoewel ‘islamiet’ inhoudelijk geen onjuiste term is – het betekent namelijk de aanhangers van de islam – geven de meeste moslims de voorkeur aan de benaming ‘moslim’ omdat dit het dichtst bij de Arabische terminologie staat. In het Nederlands wordt ‘islamiet’ bovendien vaak in een negatieve context gebruikt, terwijl dat bij ‘moslim’ in mindere mate het geval is. De term wordt vaak verward met ‘islamist', welke niet als beledigend wordt ervaren. Een islamist is iemand die zich houdt aan het islamisme, een modernistische islamitische beweging.""]"
homo,"['homoseksuele man', 'seksuele geaardheid', 'mannelijke mens']",[],"['homo', 'geïnverteerde', 'sodemiet', 'homoseksueel persoon', ""homo's en lesbo's"", 'flikker', 'sodemieter', 'reetkever', ""de wet staat nog geen huwelijken toe tussen homo's"", 'homofiel persoon', 'mietje', 'gay', 'nicht', 'holtor', 'homoseksuele', 'homoseksueel', ""de president wil een einde maken aan het weren van homo's uit het leger"", 'bruinwerker', 'homofiel', 'poot']","[""‘Homoseksueel’ is een medische en juridische term waarmee verwezen wordt naar niet\xad-heteroseksuele seksualiteit. De term als zodanig werd halverwege de 19de eeuw uitgevonden als een abnormale identiteitscategorie om mensen te onderscheiden die seksuele handelingen verrichtten met iemand van hetzelfde geslacht. Homoseksualiteit is, en wordt nog steeds op verschillende plaatsen in de wereld beschouwd als zondig, crimineel of een geestesziekte. De term wordt soms geringschattend of als scheldwoord gebruikt, en dan vooral in de afkorting ‘homo'."", '‘Gay’ is een veelgebruikte term om te verwijzen naar niet\xadheteroseksuele seksualiteit, vooral mannen. ‘Gay’ heeft de voorkeur boven de algemene medische en juridische term ‘homoseksueel’ (zie: Homo). Hoewel ‘gay’ in het Nederlands door mensen wordt gebruikt om zichzelf te beschrijven, wordt de term in de dagelijkse context vaak door anderen gebruikt met een negatieve bedoeling. Ook ‘homo’ wordt gebruikt als een scheldwoord.']"
halfbloed,[],[],"['persoon van gemengde afkomst', 'kind van verschillende rassen', 'halfbloed', 'kleurling']","[""De term ‘halfbloed’ is net als 'volbloed' ontstaan in samenhang met de 18de\xad- en 19de\xad-eeuwse ideeën over rassenverschillen. Dit waren  de hoogtijdagen van de raciale wetenschappen, die gebaseerd waren op het idee van het bestaan van biologische verschillen tussen rassen (zie: Ras). Bloed, zo dacht men toen, was de drager van hiërarchische eigenschappen, waarbij het ene soort bloed superieur was aan andere soorten. De term wordt meestal gebruikt voor mensen met een gemengde afkomst, namelijk wit en Europees, en niet\xad-wit. De term is vergelijkbaar met andere termen (uit deze lijst), zoals ‘mulat’ en ‘mesties’.""]"
mulat,"['mens', 'Mulat']",[],"['kind van één blanke en één zwarte ouder', 'mulat']","[""De term ‘halfbloed’ is net als 'volbloed' ontstaan in samenhang met de 18de\xad- en 19de\xad-eeuwse ideeën over rassenverschillen. Dit waren  de hoogtijdagen van de raciale wetenschappen, die gebaseerd waren op het idee van het bestaan van biologische verschillen tussen rassen (zie: Ras). Bloed, zo dacht men toen, was de drager van hiërarchische eigenschappen, waarbij het ene soort bloed superieur was aan andere soorten. De term wordt meestal gebruikt voor mensen met een gemengde afkomst, namelijk wit en Europees, en niet\xad-wit. De term is vergelijkbaar met andere termen (uit deze lijst), zoals ‘mulat’ en ‘mesties’."", ""Sinds de 17de eeuw verwijst ‘mulat’ naar de eerste generatie nakomelingen van een niet\xad-witte persoon en een witte persoon. De term is afgeleid van het Latijnse woord ‘mulus’ (muilezel), dat het hybride nageslacht van een paard en een ezel is. Net als de raciale wetenschappen waaruit de term voortkwam, suggereert ‘mulat' een fundamenteel verschil tussen twee menselijke soorten. Dit resulteert, net als bij de muilezel, in een abnormaal nageslacht waarvan verondersteld wordt dat het onvruchtbaar is. Er werd gedacht dat mulatten de ‘verschrikkingen’ van vermenging vertegen\xad woordigden (zie: Halfbloed), maar vanwege hun zogenaamd witte bloed vond men dat ze intelligenter waren - \xaden vaak aantrekkelijker \xad- dan Zwarte mensen. Tegenwoordig komen dergelijke ideeën nog steeds op subtiele manier terug in het dagelijks taalgebruik.""]"
gehandicapte,"['persoon', 'gehandicapte']","['invaliden', 'gehandicapte', 'gehandicapten', 'Zij die gebukt gaan onder een lichamelijke of geestelijke belemmering die hen kan beperken in hun mogelijkheden om te voldoen aan de eisen van het dagelijks leven.']","['lichamelijk/geestelijk gehandicapte', 'de integratie van gehandicapten', '[zwaar/licht] gehandicapten', 'gehandicapte', 'iemand met een handicap', 'voorzieningen voor gehandicapten', 'een instelling voor geestelijk gehandicapten']","[""‘Handicap’ is een overkoepelende term om verschillende vormen van geestelijke of lichamelijke beperkingen te beschrijven. In de afgelopen jaren is de term vooral in West\xad-Europa en de Verenigde Staten steeds meer vervangen door ‘beperking’. Aan het begin van de twintigste eeuw werd de term ‘handicap' gebruikt om iemands ‘gebrek’ of onvermogen om ‘normaal’ te functioneren aan te duiden. Vanaf de jaren zeventig werden dit concept en daaraan gerelateerde woorden steeds meer bekritiseerd. Activisten voerden aan dat een beperking geen individueel probleem was dat moest worden verholpen, maar dat het de samenleving was die het leven met een beperking tot een probleem maakte. Mensen wilden niet langer aangesproken worden als ‘gehandicapten', maar als ‘mensen met een beperking’.""]"
blank,[],[],[],"['In Nederland wordt ‘blank’ vaak in plaats van ‘wit’ gebruikt (zie: Wit). De term wordt gebruikt als identiteitscategorie en deelt zijn genealogie met andere termen, zoals bijvoorbeeld Zwart (afkomstig uit het Latijn). De term komt voort uit de raciale wetenschappen in de 18de en 19de eeuw. Van Dale definieert ‘blank’ onder andere als “niet bevlekt” en “niet gekleurd” (zie: Wit, Zwart en Mensen van kleur). De associatie met zulke ‘neutrale’ en zelfs positieve connotaties van het woord heeft tot kritiek geleid van de antiracisme\xadbeweging, die er voor pleit om de term te vervangen door de term ‘wit’.', '‘Wit’ is lange tijd gebruikt om een raciale identiteit te beschrijven op basis van huidskleur, meestal voor bepaalde groepen Europeanen en hun emigrantenpopulatie over de hele wereld. De term wordt geassocieerd met de raciale wetenschappen in de 18de en 19de eeuw. ‘Wit’ is een ideologische categorie die onder meer geassocieerd wordt met Europa’s imperiale expansie. De term heeft de connotatie gekregen van vooruitgang, verfijning en ontwikkeld. Sinds het einde van de 20ste eeuw is er echter aanhoudende kritiek op deze sociale constructie van wit\xad-zijn als norm. Men verzet zich tegen ‘wit’ als identiteitscategorie, die ontstaan is als een rechtvaardiging en bekrachtiging van het discrimineren van niet\xadwitte mensen. In Nederland is er naast de toenemende kritiek op wit\xadzijn discussie over de vraag of men het woord ‘wit’ of ‘blank’ (zie: Blank) moet gebruiken.']"
dwerg,"['mens', 'dwerg']","['dwerg', 'Personen die uitzonderlijk klein van gestalte zijn.', 'dwergen']","['in de groei belemmerd persoon', 'mini-', 'dwerg-', 'dwerg', 'lilliputter', 'iemand met zeer korte armen en benen']","[""Dwerggroei (Achondroplasie) is een medische of genetische aandoening van kleine mensen. Als de term ‘dwerg' niet binnen de medische context wordt gebruikt, wordt het als een belediging opgevat. De term ‘dwerg’ wordt in het Nederlands gebruikt sinds de 14de eeuw. Toen had het de connotatie van monsterlijk. Satirische verbeeldingen van kleine mensen komen vaak voor in (de geschiedenis van) Europese kunst, literatuur en film. In 19de en vroeg 20ste\xadeeuwse koloniale tentoonstellingen, freak shows en circussen werden mensen met dwerggroei gezien als abnormaal ‘anders’, in sommige opzichten vergelijkbaar met de raciale verbeelding van gekoloniseerde mensen. Vergelijkbare beledigende termen zijn ‘lilliputter’ en ‘pygmee’""]"
tweede wereld,"['groep', 'tweede wereld']",[],[],"[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit.""]"
