,resource,nl,lemma,entity_id,property,value,implicit_marker,level
0,wikidata,nl,lilliputter,Q2419953,description,informele term voor een mens met dwerggroei,informele term,3
1,wikidata,nl,homo,Q1975772,description,denigrerende term voor homo's,denigrerende,1
2,wikidata,nl,homo,Q55657493,description,"denigrerende term die de tolerantie van Europa ten opzichte van homo's belachelijk maakt, wat impliceert dat heel Europa door homo's wordt bevolkt",denigrerende,1
3,wikidata,nl,westers,Q30674738,description,denigrerend Chinees neologisme en politieke bijnaam voor westerse linkse ideologieÃ«n,denigrerend,1
4,wikidata,nl,neger,Q1130557,description,historische term voor zwart persoon,historische term,3
5,wikidata,nl,inuk,Q189975,description,naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,zichzelf aanduiden,3
6,wikidata,nl,blank,Q698752,description,racistische ideologie,racistische,2
7,wikidata,nl,blank,Q107405878,description,betreft de discussie of het gebruik van de term 'blank' racistisch is,racistisch,2
8,wikidata,nl,zigeuner,Q76475,description,"als denigrerend beschouwde naam voor de Roma/Jenische, soms ook spreekwoordelijk gebruikt",denigrerend,3
9,wikidata,nl,zwart,Q1130557,description,historische term voor zwart persoon,historische term,3
10,wikidata,nl,dwerg,Q2419953,description,informele term voor een mens met dwerggroei,informele term,3
11,wikidata,nl,ras,Q1130557,description,historische term voor zwart persoon,historische term,3
12,wikidata,nl,eskimo,Q189975,description,naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,zichzelf aanduiden,3
13,wikidata,nl,kaffer,Q1285250,description,"betekent ongelovige, ook wel voor sukkel of lomperik, en een scheldwoord",scheldwoord,3
